player_id,opta_id,first_name,second_name,web_name,known_name,team_id,team_opta_id,team_name,team_short_name,element_type,position,status,news,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,opta_index,total_points,now_cost,selected_by_percent
38,1552945,Ulrik,Mathisen,Mathisen,,3,298,Brann,BRA,3,MID,a,,799,1,4,3,15,0,0,0,0,0,0,1,0.000000,44,74,1.7
39,1562640,Thore,Baardsen Pedersen,Pedersen,,3,298,Brann,BRA,3,MID,a,,1132,0,0,3,20,0,0,0,2,0,0,0,0.000000,28,44,0.6
40,1835815,Lars,Remmem,Remmem,,3,298,Brann,BRA,3,MID,u,På lån til Haugesund,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,45,0.0
41,1584945,Sakarias,Opsahl,Opsahl,,3,298,Brann,BRA,3,MID,i,Smell - Ute resten av sesongen,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,43,0.0
42,1574301,Mads,Berg Sande,Sande,,3,298,Brann,BRA,3,MID,u,Overgang til Kongsvinger,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,50,0.1
43,2030843,Eggert Aron,Gudmundsson,Gudmundsson,,3,298,Brann,BRA,3,MID,i,Smell - Forventet tilbake 13. september,225,0,0,2,2,0,0,0,0,0,0,0,0.000000,9,64,0.4
44,2032537,Denzel,De Roeve,De Roeve,,3,298,Brann,BRA,2,DEF,u,Overgang til Union Saint-Gilloise,944,1,2,2,16,0,0,0,1,0,0,2,0.000000,38,59,8.2
45,1619032,Noah,Holm,Noah,,3,298,Brann,BRA,4,FWD,a,,1373,6,2,4,23,0,0,0,3,0,0,8,0.000000,68,77,22.9
46,2050502,Jacob Lungi,Sørensen,Sørensen,,3,298,Brann,BRA,3,MID,a,,1141,0,1,4,15,0,0,0,3,0,0,1,0.000000,32,43,1.8
47,2050406,Sævar Atli,Magnússon,Magnússon,,3,298,Brann,BRA,3,MID,a,,36,0,0,0,1,0,0,0,0,0,0,0,0.000000,3,89,0.2
48,20663,Vetle,Dragsnes,Dragsnes,,3,298,Brann,BRA,2,DEF,a,,1038,1,0,3,13,0,0,0,1,0,0,1,0.000000,39,47,1.2
49,2051596,Nana,Boakye,Boakye,,3,298,Brann,BRA,2,DEF,i,Kne - Ute resten av sesongen,135,0,0,0,4,0,0,0,0,0,0,0,0.000000,2,48,0.7
50,1958337,Kristall,Máni Ingason,Ingason,,3,298,Brann,BRA,3,MID,d,Smell - 25 % sjanse for å spille,938,5,4,4,12,0,0,0,2,0,0,7,0.000000,72,66,5.8
51,2060091,Jón Dagur,Thorsteinsson,Thorsteinsson,,3,298,Brann,BRA,3,MID,u,Lån avsluttet,819,2,3,2,15,0,0,0,3,0,0,3,0.000000,41,78,3.4
52,1757446,Niklas,Jensen Wassberg,Wassberg,,3,298,Brann,BRA,3,MID,a,,625,0,1,1,13,0,0,0,1,0,0,0,0.000000,23,54,0.2
53,1817717,Jesper,Eikrem,Eikrem,,3,298,Brann,BRA,3,MID,u,Lån til Åsane,4,0,0,0,0,0,0,0,0,0,0,0,0.000000,1,50,0.1
54,1837000,Martin,Børsheim,Børsheim,,4,117,Fredrikstad,FFK,1,GK,a,,1710,0,0,3,30,0,0,0,3,0,61,3,0.000000,54,48,7.2
55,1572205,Daniel,Eid,Eid,,4,117,Fredrikstad,FFK,2,DEF,a,,1596,2,3,3,26,0,0,0,3,0,0,8,0.000000,65,56,6.8
56,1582025,Sigurd,Kvile,Kvile,,4,117,Fredrikstad,FFK,2,DEF,i,Kne - Ute resten av sesongen,30,0,0,0,0,0,0,0,1,0,0,0,0.000000,1,44,0.0
57,2024528,Kennedy,Okpaleke,Okpaleke,,4,117,Fredrikstad,FFK,2,DEF,i,Smell - Ute på ubestemt tid,6,0,0,0,0,0,0,0,0,0,0,0,0.000000,2,39,0.9
58,3840,Simen,Rafn,Rafn,,4,117,Fredrikstad,FFK,2,DEF,a,,888,1,1,1,12,0,0,0,2,0,0,4,0.000000,34,41,6.9
59,1767706,Henrik,Skogvold,Skogvold,,4,117,Fredrikstad,FFK,4,FWD,a,,1402,0,3,4,24,0,0,0,0,0,0,2,0.000000,45,67,7.1
60,1739530,Ole,Langbråten,Langbråten,,4,117,Fredrikstad,FFK,1,GK,a,,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,40,0.7
61,1857559,Elias,Solberg,Solberg,,4,117,Fredrikstad,FFK,3,MID,u,Overgang til Ranheim,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,45,0.1
62,1816099,Benjamin,Faraas,Faraas,,4,117,Fredrikstad,FFK,3,MID,a,,627,3,0,1,12,0,0,0,2,0,0,3,0.000000,35,60,0.2
63,2025293,Oskar,Øhlenschlæger,Øhlenschlæger,,4,117,Fredrikstad,FFK,3,MID,u,Overgang til Samsunspor,1287,3,2,3,18,0,0,0,2,0,0,9,0.000000,61,67,6.5
64,2027187,Rocco,Shein,Shein,,4,117,Fredrikstad,FFK,3,MID,u,Overgang til Portsmouth,963,2,4,1,18,0,0,0,1,0,0,11,0.000000,55,57,1.9
65,1542214,Sondre,Sørløkk,Sørløkk,,4,117,Fredrikstad,FFK,2,DEF,a,,979,0,3,1,21,0,0,0,0,0,0,0,0.000000,29,52,6.7
66,1633872,Ulrik,Fredriksen,Fredriksen,,4,117,Fredrikstad,FFK,2,DEF,a,,1502,1,0,3,23,0,0,0,1,0,0,1,0.000000,45,47,12.7
67,294605,Johannes Andres,Hummelvoll-Nuñez,Nuñez,,4,117,Fredrikstad,FFK,4,FWD,a,,348,1,1,0,9,0,0,0,1,0,0,0,0.000000,15,78,5.3
68,122750,Øystein,Øvretveit,Øvretveit,,4,117,Fredrikstad,FFK,1,GK,a,,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,39,0.9
69,1942048,Eirik Julius,Granaas,Granaas,,4,117,Fredrikstad,FFK,3,MID,u,Overgang til Porto,86,1,0,0,4,0,0,0,3,0,0,0,0.000000,10,48,0.1
70,40513,Solomon,Owusu,S. Owusu,,4,117,Fredrikstad,FFK,2,DEF,a,,426,1,0,0,10,0,0,0,1,0,0,0,0.000000,15,44,0.3
71,1746097,Fanuel,Ghebreyohannes,Ghebreyohannes,,4,117,Fredrikstad,FFK,2,DEF,i,Smell - Forventet tilbake 13. september,724,0,0,1,13,0,0,0,3,0,0,0,0.000000,18,48,0.1
72,1793151,Salim,Laghzaoui,Laghzaoui,,4,117,Fredrikstad,FFK,3,MID,a,,859,0,1,1,14,0,0,0,0,0,0,0,0.000000,27,55,0.2
73,1573731,Aleksander,Andresen,Andresen,,5,63,HamKam,HAM,2,DEF,a,,46,0,0,0,1,0,0,0,0,0,0,0,0.000000,4,48,0.1
74,37957,Fredrik,Holmé,Holmé,,4,117,Fredrikstad,FFK,2,DEF,a,,1433,2,1,3,25,0,0,0,3,0,0,5,0.000000,53,45,2.5
75,2056398,Samuel,Leach Holm,Leach Holm,,4,117,Fredrikstad,FFK,3,MID,a,,924,1,1,1,17,0,0,0,1,0,0,0,0.000000,31,48,0.3
76,1812638,Joachim,Nysveen,Nysveen,,4,117,Fredrikstad,FFK,2,DEF,i,Smell - Ute på ubestemt tid,36,0,0,0,2,0,0,0,0,0,0,0,0.000000,2,43,0.0
77,2060946,Max,Nilsson,Nilsson,,4,117,Fredrikstad,FFK,3,MID,a,,786,1,1,3,13,0,0,0,2,0,0,2,0.000000,32,48,0.1
78,1882015,Simon,Rusen,Rusen,,5,63,HamKam,HAM,1,GK,a,,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,40,0.3
79,2017745,Anton,Ekeroth,Ekeroth,,5,63,HamKam,HAM,2,DEF,u,Overgang til Sigma Olomouc,1011,0,2,2,22,0,0,0,3,0,0,2,0.000000,28,54,3.4
80,1798379,Viðar Ari,Jónsson,Jónsson,,5,63,HamKam,HAM,2,DEF,a,,885,0,2,3,15,1,0,0,1,0,0,1,0.000000,33,49,0.6
81,1926490,Luc,Mares,Mares,,5,63,HamKam,HAM,3,MID,a,,775,0,0,1,15,0,0,0,1,0,0,0,0.000000,18,49,0.9
82,1723336,Halvor,Rødølen Opsahl,Opsahl,,5,63,HamKam,HAM,2,DEF,a,,321,0,1,0,7,0,0,0,1,0,0,0,0.000000,10,44,0.1
83,1801700,Ola,Rye,Rye,,5,63,HamKam,HAM,2,DEF,u,På lån til Ullern,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,39,0.3
84,47121,Fredrik,Sjølstad,Sjølstad,,5,63,HamKam,HAM,2,DEF,d,Smell - 50 % sjanse for å spille,1240,0,0,2,27,1,0,0,1,0,0,5,0.000000,31,44,0.6
85,1556643,Snorre,Strand Nilsen,Strand Nilsen,,5,63,HamKam,HAM,2,DEF,a,,357,0,1,0,9,0,0,0,0,0,0,0,0.000000,16,42,0.9
86,1813104,Julian,Gonstad,Gonstad,,6,306,KFUM Oslo,KFUM,4,FWD,a,,357,0,0,0,8,0,0,0,0,0,0,0,0.000000,12,56,1.5
87,1606911,Ilir,Kukleci,Kukleci,,5,63,HamKam,HAM,2,DEF,u,Overgang til KF Teuta,113,0,0,0,1,0,0,0,1,0,0,0,0.000000,7,44,0.1
88,1757695,Marcus,Sandberg,Sandberg,,5,63,HamKam,HAM,1,GK,a,,1620,0,0,4,32,0,0,0,1,0,70,0,0.000000,57,50,4.5
89,1893144,David,De Ornelas,De Ornelas,,5,63,HamKam,HAM,3,MID,a,,0,0,0,0,0,0,0,0,0,0,0,0,0.000000,0,45,0.1
